player,college_team,college_seasons_played,career_college_passing_yards,avg_college_passing_yards_per_season,career_college_passing_tds,avg_college_passing_tds_per_season,career_college_rushing_yards,avg_college_rushing_yards_per_season,career_college_rushing_tds,avg_college_rushing_tds_per_season,career_college_completions,avg_college_completions_per_season,career_college_attempts,avg_college_attempts_per_season
"Jack Walker","Southern Miss",1,NULL,NULL,NULL,NULL,1,1.0,0,0.00,NULL,NULL,NULL,NULL
"Jack West",Stanford,4,436,109.0,0,0.00,-50,-12.5,0,0.00,49,12.3,86,21.5
"Jack Williams","Kent State",1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,1,1.0
"Jack Zergiotis",Merrimack,1,667,667.0,7,7.00,-11,-11.0,1,1.00,52,52.0,106,106.0
"Jack Zergiotis",UConn,2,2107,1053.5,12,6.00,-101,-50.5,1,0.50,188,94.0,346,173.0
"Jackie Wilson",Bethune-Cookman,3,268,89.3,1,0.33,67,22.3,2,0.67,29,9.7,51,17.0
"Jackson Akins","Cal Poly",2,851,425.5,4,2.00,23,11.5,0,0.00,84,42.0,132,66.0
"Jackson Arnold",Auburn,1,1263,1263.0,6,6.00,270,270.0,7,7.00,131,131.0,207,207.0
"Jackson Arnold",Oklahoma,2,1984,992.0,16,8.00,560,280.0,4,2.00,198,99.0,315,157.5
"Jackson Berry","Southern Utah",3,1390,463.3,9,3.00,276,92.0,1,0.33,117,39.0,188,62.7
"Jackson Brousseau","Colorado State",3,867,289.0,6,2.00,30,10.0,1,0.33,83,27.7,138,46.0
"Jackson Byrd","East Tennessee State",1,19,19.0,0,0.00,21,21.0,1,1.00,2,2.0,2,2.0
"Jackson Gibbs","App State",1,NULL,NULL,NULL,NULL,-2,-2.0,0,0.00,NULL,NULL,NULL,NULL
"Jackson Gilkey","Weber State",1,693,693.0,4,4.00,227,227.0,1,1.00,59,59.0,115,115.0
"Jackson Gutierrez",Navy,2,0,0.0,0,0.00,123,61.5,0,0.00,0,0.0,1,0.5
"Jackson Hardy",Richmond,2,96,48.0,2,1.00,72,36.0,0,0.00,8,4.0,17,8.5
"Jackson Kilburg",Colgate,1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,1,1.0
"Jackson Muschamp",Georgia,1,NULL,NULL,NULL,NULL,14,14.0,0,0.00,NULL,NULL,NULL,NULL
"Jackson Pavitt","Cal Poly",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jackson Proctor",Dartmouth,3,2297,765.7,18,6.00,617,205.7,5,1.67,214,71.3,305,101.7
"Jackson Proctor","Northern Illinois",1,8,8.0,0,0.00,13,13.0,0,0.00,2,2.0,6,6.0
"Jackson Stratton","Colorado State",1,78,78.0,1,1.00,18,18.0,0,0.00,4,4.0,17,17.0
"Jackson Stratton",Iowa,1,219,219.0,1,1.00,4,4.0,0,0.00,21,21.0,35,35.0
"Jackson Tyner",Rice,3,1048,349.3,4,1.33,85,28.3,2,0.67,87,29.0,184,61.3
"Jackson Tyner","Texas Tech",1,2,2.0,0,0.00,6,6.0,0,0.00,1,1.0,8,8.0
"Jackson Waring","Illinois State",1,NULL,NULL,NULL,NULL,-2,-2.0,0,0.00,NULL,NULL,NULL,NULL
"Jackson White",Marshall,2,11,5.5,0,0.00,-11,-5.5,0,0.00,2,1.0,2,1.0
"Jackson Williamson","Miami (OH)",1,84,84.0,0,0.00,35,35.0,0,0.00,8,8.0,19,19.0
"Jackson Zalinsky",Stonehill,2,NULL,NULL,NULL,NULL,2,1.0,0,0.00,NULL,NULL,NULL,NULL
"Jacob Bower",Tulsa,2,427,213.5,3,1.50,150,75.0,2,1.00,26,13.0,51,25.5
"Jacob Buie","Southeast Missouri State",1,-4,-4.0,0,0.00,NULL,NULL,NULL,NULL,2,2.0,4,4.0
"Jacob Charest",Illinois,1,382,382.0,2,2.00,20,20.0,1,1.00,28,28.0,56,56.0
"Jacob Clark",Minnesota,1,39,39.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,1,1.0
"Jacob Clark","Missouri State",4,6279,1569.8,49,12.25,117,29.3,3,0.75,464,116.0,691,172.8
"Jacob Conover","Arizona State",1,130,130.0,0,0.00,-5,-5.0,0,0.00,11,11.0,38,38.0
"Jacob Conover",BYU,2,45,22.5,0,0.00,5,2.5,0,0.00,5,2.5,11,5.5
"Jacob Conover","Utah State",2,178,89.0,2,1.00,1,0.5,0,0.00,17,8.5,29,14.5
"Jacob Dehaan",Toledo,1,NULL,NULL,NULL,NULL,13,13.0,0,0.00,NULL,NULL,NULL,NULL
"Jacob Dolegala","Central Connecticut",1,117,117.0,0,0.00,-3,-3.0,0,0.00,14,14.0,24,24.0
"Jacob Drena",UConn,1,15,15.0,0,0.00,-7,-7.0,0,0.00,2,2.0,3,3.0
"Jacob Eason",Georgia,2,2458,1229.0,16,8.00,-57,-28.5,1,0.50,208,104.0,377,188.5
"Jacob Eason",Washington,2,3132,1566.0,23,11.50,-69,-34.5,1,0.50,260,130.0,405,202.5
"Jacob Free",Troy,1,1051,1051.0,6,6.00,-58,-58.0,1,1.00,88,88.0,152,152.0
"Jacob Holtschlag",Georgetown,1,342,342.0,0,0.00,17,17.0,0,0.00,33,33.0,68,68.0
"Jacob Huesman","App State",5,452,90.4,5,1.00,30,6.0,1,0.20,42,8.4,72,14.4
"Jacob Huesman",Chattanooga,4,495,123.8,4,1.00,191,47.8,3,0.75,52,13.0,85,21.3
"Jacob Jones",Grambling,1,0,0.0,0,0.00,47,47.0,0,0.00,0,0.0,1,1.0
"Jacob Karam",Memphis,2,1917,958.5,14,7.00,205,102.5,1,0.50,179,89.5,281,140.5
"Jacob Karam","Texas Tech",2,104,52.0,2,1.00,2,1.0,0,0.00,9,4.5,18,9.0
"Jacob Knipp","Northern Colorado",2,507,253.5,4,2.00,26,13.0,0,0.00,53,26.5,93,46.5
"Jacob Knuth","Kansas State",2,18,9.0,0,0.00,63,31.5,0,0.00,2,1.0,2,1.0
"Jacob Park","Iowa State",2,2972,1486.0,21,10.50,68,34.0,2,1.00,233,116.5,388,194.0
"Jacob Sexton","Austin Peay",2,38,19.0,0,0.00,28,14.0,0,0.00,2,1.0,5,2.5
"Jacob Sirmon","Central Michigan",1,734,734.0,6,6.00,-53,-53.0,0,0.00,73,73.0,119,119.0
"Jacob Sirmon","Northern Colorado",2,1784,892.0,11,5.50,-87,-43.5,1,0.50,182,91.0,323,161.5
"Jacob Sirmon",Washington,2,28,14.0,0,0.00,0,0.0,0,0.00,3,1.5,4,2.0
"Jacob Thomas",Troy,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jacob Zeno",Baylor,3,282,94.0,1,0.33,1,0.3,1,0.33,15,5.0,29,9.7
"Jacob Zeno",UAB,3,4666,1555.3,31,10.33,353,117.7,5,1.67,419,139.7,599,199.7
"Jacobe Robinson","Boston College",1,23,23.0,0,0.00,23,23.0,1,1.00,2,2.0,3,3.0
"Jacobe Robinson","Southern Miss",1,NULL,NULL,NULL,NULL,33,33.0,0,0.00,NULL,NULL,NULL,NULL
"JaCobian Morgan","Jackson State",3,4252,1417.3,41,13.67,693,231.0,14,4.67,336,112.0,527,175.7
"JaCobian Morgan",Syracuse,2,288,144.0,2,1.00,-25,-12.5,0,0.00,32,16.0,50,25.0
"Jacoby Brissett",Florida,2,455,227.5,3,1.50,3,1.5,3,1.50,41,20.5,74,37.0
"Jacoby Brissett","NC State",2,5268,2634.0,43,21.50,899,449.5,9,4.50,458,229.0,765,382.5
"Jacolby Criswell",Arkansas,1,143,143.0,3,3.00,44,44.0,0,0.00,17,17.0,27,27.0
"Jacolby Criswell","East Tennessee State",1,354,354.0,3,3.00,155,155.0,0,0.00,31,31.0,53,53.0
"Jacolby Criswell","North Carolina",4,2663,665.8,16,4.00,234,58.5,4,1.00,204,51.0,351,87.8
"Jacory Harris",Miami,4,8826,2206.5,70,17.50,-3,-0.8,5,1.25,703,175.8,1170,292.5
"JacQai Long",Marshall,1,31,31.0,0,0.00,38,38.0,1,1.00,6,6.0,18,18.0
"Jacurri Brown",Miami,2,411,205.5,4,2.00,280,140.0,2,1.00,47,23.5,78,39.0
"Jacurri Brown",UCF,2,484,242.0,2,1.00,543,271.5,6,3.00,37,18.5,71,35.5
"Jaden Casey","Portland State",2,28,14.0,0,0.00,19,9.5,0,0.00,3,1.5,8,4.0
"Jaden Craig",Harvard,3,4736,1578.7,39,13.00,160,53.3,8,2.67,335,111.7,542,180.7
"Jaden Johnson","Missouri State",2,53,26.5,0,0.00,4,2.0,0,0.00,8,4.0,18,9.0
"Jaden Johnson","Prairie View A&M",2,1223,611.5,7,3.50,165,82.5,0,0.00,98,49.0,167,83.5
"Jaden Jones","Cal Poly",4,1093,273.3,7,1.75,262,65.5,1,0.25,83,20.8,153,38.3
"Jaden Keefner",Bryant,1,434,434.0,2,2.00,201,201.0,2,2.00,38,38.0,72,72.0
"Jaden Rashada","Arizona State",1,485,485.0,4,4.00,23,23.0,0,0.00,44,44.0,82,82.0
"Jaden Rashada","Sacramento State",1,264,264.0,1,1.00,-4,-4.0,0,0.00,17,17.0,42,42.0
"Jadrian Clark","Weber State",3,257,85.7,0,0.00,15,5.0,0,0.00,34,11.3,64,21.3
"Jadyn Davis",Michigan,1,0,0.0,0,0.00,-6,-6.0,0,0.00,0,0.0,2,2.0
"Jadyn Glasser","Central Michigan",2,517,258.5,2,1.00,-28,-14.0,2,1.00,48,24.0,85,42.5
"Jagger LaRoe","East Texas A&M",1,32,32.0,0,0.00,NULL,NULL,NULL,NULL,2,2.0,5,5.0
"Jai'ave Magalei","East Texas A&M",1,160,160.0,0,0.00,-21,-21.0,0,0.00,25,25.0,44,44.0
"Jai'ave Magalei",Louisiana,2,244,122.0,2,1.00,-14,-7.0,0,0.00,23,11.5,32,16.0
"JaJuan Lawson","New Mexico",2,54,27.0,0,0.00,65,32.5,1,0.50,3,1.5,5,2.5
"JaJuan Lawson","Rhode Island",2,351,175.5,4,2.00,85,42.5,2,1.00,23,11.5,34,17.0
"Jake Arceneaux",Louisiana,2,6,3.0,0,0.00,8,4.0,0,0.00,1,0.5,1,0.5
"Jake Barlage",Nevada,1,NULL,NULL,NULL,NULL,37,37.0,0,0.00,NULL,NULL,NULL,NULL
"Jake Bentley","South Alabama",1,2476,2476.0,17,17.00,-8,-8.0,4,4.00,212,212.0,303,303.0
"Jake Bentley","South Carolina",4,7527,1881.8,55,13.75,153,38.3,8,2.00,626,156.5,1002,250.5
"Jake Bentley",Utah,1,882,882.0,6,6.00,113,113.0,1,1.00,77,77.0,124,124.0
"Jake Bernards","San Diego State",2,10,5.0,0,0.00,NULL,NULL,NULL,NULL,1,0.5,2,1.0
"Jake Blumrick","Stephen F. Austin",2,142,71.0,1,0.50,-8,-4.0,0,0.00,15,7.5,33,16.5
"Jake Browning",Washington,4,12269,3067.3,94,23.50,232,58.0,16,4.00,956,239.0,1479,369.8
"Jake Coker",Alabama,2,3513,1756.5,25,12.50,81,40.5,2,1.00,301,150.5,452,226.0
"Jake Coker","Florida State",2,295,147.5,1,0.50,15,7.5,1,0.50,21,10.5,41,20.5
"Jake Constantine",Rice,1,1622,1622.0,8,8.00,-7,-7.0,0,0.00,126,126.0,206,206.0
"Jake Constantine","Weber State",1,119,119.0,0,0.00,8,8.0,0,0.00,21,21.0,31,31.0
"Jake Curry","Southern Illinois",2,961,480.5,3,1.50,172,86.0,3,1.50,86,43.0,157,78.5
"Jake Dolegala","Central Connecticut",1,86,86.0,1,1.00,NULL,NULL,NULL,NULL,6,6.0,19,19.0
"Jake Dunniway","Sacramento State",2,2465,1232.5,20,10.00,4,2.0,0,0.00,192,96.0,319,159.5
"Jake Farrell",Hawai'i,1,14,14.0,0,0.00,9,9.0,0,0.00,3,3.0,8,8.0
"Jake Fromm",Georgia,3,8224,2741.3,78,26.00,40,13.3,3,1.00,621,207.0,981,327.0
"Jake Froschauer",Colgate,1,5,5.0,0,0.00,12,12.0,0,0.00,2,2.0,2,2.0
"Jake Garcia","East Carolina",1,1426,1426.0,8,8.00,46,46.0,2,2.00,109,109.0,181,181.0
"Jake Garcia",Miami,2,950,475.0,7,3.50,-30,-15.0,0,0.00,79,39.5,126,63.0
"Jake Haener","Fresno State",3,8948,2982.7,67,22.33,-93,-31.0,8,2.67,727,242.3,1067,355.7
"Jake Haener",Washington,1,107,107.0,1,1.00,-9,-9.0,0,0.00,9,9.0,13,13.0
"Jake Hall",UCLA,1,5,5.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,1,1.0
"Jake Heaps",BYU,2,3768,1884.0,24,12.00,-157,-78.5,2,1.00,363,181.5,635,317.5
"Jake Heaps",Kansas,1,1414,1414.0,8,8.00,-162,-162.0,1,1.00,128,128.0,261,261.0
"Jake Heaps",Miami,1,51,51.0,0,0.00,-10,-10.0,0,0.00,6,6.0,12,12.0
"Jake Hubenak","Texas A&M",3,1381,460.3,9,3.00,57,19.0,0,0.00,114,38.0,196,65.3
"Jake Jensen",Montana,1,7,7.0,0,0.00,8,8.0,0,0.00,1,1.0,2,2.0
"Jake Jensen",USC,2,NULL,NULL,NULL,NULL,0,0.0,0,0.00,NULL,NULL,NULL,NULL
"Jake Johnson","Austin Peay",2,39,19.5,0,0.00,2,1.0,0,0.00,3,1.5,6,3.0
"Jake Johnson","Central Michigan",1,NULL,NULL,NULL,NULL,-3,-3.0,0,0.00,NULL,NULL,NULL,NULL
"Jake Kolbe","Illinois State",2,434,217.0,2,1.00,0,0.0,0,0.00,41,20.5,56,28.0
"Jake Lange","Southern Miss",2,953,476.5,5,2.50,-189,-94.5,0,0.00,90,45.0,158,79.0
"Jake Locker",Washington,4,7639,1909.8,53,13.25,1939,484.8,29,7.25,619,154.8,1148,287.0
"Jake Luton",Idaho,1,383,383.0,1,1.00,73,73.0,5,5.00,49,49.0,78,78.0
"Jake Luton","Oregon State",3,5227,1742.3,42,14.00,-204,-68.0,1,0.33,445,148.3,716,238.7
"Jake Maier","UC Davis",3,1071,357.0,5,1.67,-27,-9.0,0,0.00,97,32.3,161,53.7
"Jake Mcnamara","East Tennessee State",1,273,273.0,2,2.00,21,21.0,0,0.00,22,22.0,32,32.0
"Jake Mcnamara",UTEP,1,32,32.0,0,0.00,32,32.0,1,1.00,3,3.0,7,7.0
"Jake Medlock","Florida International",3,3425,1141.7,18,6.00,342,114.0,5,1.67,264,88.0,478,159.3
"Jake Melville",Colgate,3,346,115.3,2,0.67,52,17.3,0,0.00,38,12.7,74,24.7
"Jake Merklinger",Tennessee,2,223,111.5,2,1.00,38,19.0,0,0.00,18,9.0,31,15.5
"Jake Paladino",VMI,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jake Retzlaff",BYU,2,3544,1772.0,22,11.00,533,266.5,9,4.50,274,137.0,492,246.0
"Jake Retzlaff",Tulane,1,1622,1622.0,7,7.00,513,513.0,9,9.00,130,130.0,218,218.0
"Jake Rizzo","Florida State",1,6,6.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,2,2.0
"Jake Rodrigues",Oregon,1,67,67.0,1,1.00,38,38.0,0,0.00,3,3.0,6,6.0
"Jake Rubley","Illinois State",1,355,355.0,2,2.00,-20,-20.0,1,1.00,34,34.0,61,61.0
"Jake Rubley","Kansas State",2,47,23.5,0,0.00,2,1.0,0,0.00,5,2.5,6,3.0
"Jake Rudock",Iowa,2,4819,2409.5,34,17.00,394,197.0,8,4.00,417,208.5,691,345.5
"Jake Rudock",Michigan,1,3017,3017.0,20,20.00,166,166.0,4,4.00,249,249.0,389,389.0
"Jake Ryder",Towson,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jake Sanders","Idaho State",1,NULL,NULL,NULL,NULL,2,2.0,0,0.00,NULL,NULL,NULL,NULL
"Jake Schakel","Eastern Washington",1,46,46.0,0,0.00,8,8.0,0,0.00,7,7.0,10,10.0
"Jake Simmons","Robert Morris",1,240,240.0,1,1.00,30,30.0,0,0.00,30,30.0,59,59.0
"Jake Smith",Harvard,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jake Sopko",Cincinnati,2,0,0.0,0,0.00,16,8.0,0,0.00,0,0.0,1,0.5
"Jake Stearney",Colgate,3,4017,1339.0,31,10.33,131,43.7,3,1.00,377,125.7,598,199.3
"Jake Strong",McNeese,1,1441,1441.0,8,8.00,209,209.0,5,5.00,118,118.0,208,208.0
"Jake Strong","Texas Tech",1,409,409.0,2,2.00,61,61.0,0,0.00,35,35.0,65,65.0
"Jake Triptree","New Haven",1,9,9.0,0,0.00,NULL,NULL,NULL,NULL,3,3.0,3,3.0
"Jake Waters","Kansas State",2,5970,2985.0,40,20.00,796,398.0,15,7.50,421,210.5,657,328.5
"Jake Weir","Houston Christian",1,764,764.0,2,2.00,-95,-95.0,0,0.00,89,89.0,174,174.0
"Jake Willcox",Brown,3,6738,2246.0,38,12.67,429,143.0,2,0.67,670,223.3,1054,351.3
"Jake Wilson",Bucknell,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jake Wolfe","Robert Morris",1,159,159.0,1,1.00,75,75.0,0,0.00,12,12.0,20,20.0
"Jakob Foss",Nicholls,1,18,18.0,1,1.00,9,9.0,0,0.00,2,2.0,2,2.0
"Jakolby Longino",Lamar,3,488,162.7,5,1.67,169,56.3,1,0.33,37,12.3,68,22.7
"Jakolby Longino",UTEP,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jalan Early","Fresno State",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jalan McClendon",Baylor,1,715,715.0,3,3.00,102,102.0,2,2.00,55,55.0,91,91.0
"Jalan McClendon","NC State",3,262,87.3,1,0.33,223,74.3,2,0.67,26,8.7,47,15.7
"Jalani Eason","Mississippi Valley State",2,551,275.5,4,2.00,178,89.0,0,0.00,63,31.5,141,70.5
"Jalani Eason","Portland State",3,483,161.0,6,2.00,143,47.7,2,0.67,40,13.3,81,27.0
"Jalen Dummett",Lamar,2,33,16.5,0,0.00,98,49.0,2,1.00,6,3.0,11,5.5
"Jalen Ferguson",Campbell,1,58,58.0,0,0.00,2,2.0,0,0.00,10,10.0,17,17.0
"Jalen Fowler","North Carolina A&T",3,1796,598.7,15,5.00,62,20.7,0,0.00,141,47.0,230,76.7
"Jalen Greene",Elon,3,22,7.3,0,0.00,23,7.7,1,0.33,2,0.7,4,1.3
"Jalen Hurts",Alabama,3,5626,1875.3,48,16.00,1976,658.7,23,7.67,445,148.3,706,235.3
"Jalen Hurts",Oklahoma,1,3851,3851.0,32,32.00,1298,1298.0,20,20.00,237,237.0,341,341.0
"Jalen Kitna",Florida,1,181,181.0,1,1.00,6,6.0,0,0.00,10,10.0,14,14.0
"Jalen Kitna",UAB,2,3985,1992.5,27,13.50,-103,-51.5,0,0.00,357,178.5,550,275.0
"Jalen Macon","Arkansas-Pine Bluff",2,566,283.0,3,1.50,175,87.5,0,0.00,49,24.5,84,42.0
"Jalen Macon","Northern Illinois",2,50,25.0,0,0.00,49,24.5,1,0.50,4,2.0,7,3.5
"Jalen Mayden","Mississippi State",1,9,9.0,0,0.00,32,32.0,0,0.00,1,1.0,2,2.0
"Jalen Mayden","San Diego State",3,4099,1366.3,23,7.67,795,265.0,8,2.67,344,114.7,556,185.3
"Jalen Milroe",Alabama,4,6016,1504.0,45,11.25,1579,394.8,33,8.25,426,106.5,663,165.8
"Jalen Morton","Prairie View A&M",3,789,263.0,7,2.33,143,47.7,1,0.33,49,16.3,106,35.3
"Jalen Nixon",Louisiana,4,1021,255.3,8,2.00,526,131.5,5,1.25,91,22.8,168,42.0
"Jalen Ollie",Fordham,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jalen Reese",Toledo,1,NULL,NULL,NULL,NULL,5,5.0,0,0.00,NULL,NULL,NULL,NULL
"Jalen Whitlow","Eastern Illinois",2,467,233.5,1,0.50,195,97.5,1,0.50,54,27.0,88,44.0
"Jalen Whitlow",Kentucky,2,1834,917.0,8,4.00,663,331.5,9,4.50,185,92.5,320,160.0
"Jalon Daniels",Kansas,6,8605,1434.2,63,10.50,1309,218.2,21,3.50,683,113.8,1095,182.5
"Jalon Jones",Bethune-Cookman,1,2231,2231.0,13,13.00,572,572.0,5,5.00,187,187.0,320,320.0
"Jalon Jones",Charlotte,1,646,646.0,2,2.00,476,476.0,4,4.00,67,67.0,109,109.0
"Jalyn Gramstad",Nebraska,2,27,13.5,0,0.00,2,1.0,0,0.00,6,3.0,8,4.0
"Jamari Jones","Mississippi Valley State",2,815,407.5,8,4.00,203,101.5,0,0.00,63,31.5,119,59.5
"Jamarr Robinson",Maryland,2,808,404.0,6,3.00,326,163.0,0,0.00,72,36.0,134,67.0
"Jameel Sewell",Virginia,3,5366,1788.7,24,8.00,646,215.3,15,5.00,514,171.3,903,301.0
"Jameill Showers","Texas A&M",2,359,179.5,2,1.00,72,36.0,1,0.50,31,15.5,49,24.5
"Jameill Showers",UTEP,2,3121,1560.5,23,11.50,507,253.5,8,4.00,266,133.0,474,237.0
"Jameis Winston","Florida State",2,7964,3982.0,65,32.50,284,142.0,7,3.50,562,281.0,851,425.5
"James Barnes",Clemson,1,9,9.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,1,1.0
"James Blackman","Arkansas State",2,3807,1903.5,22,11.00,-159,-79.5,3,1.50,332,166.0,531,265.5
"James Blackman","Florida State",4,5450,1362.5,43,10.75,-50,-12.5,1,0.25,433,108.3,716,179.0
"James Capello","Iowa State",1,NULL,NULL,NULL,NULL,27,27.0,1,1.00,NULL,NULL,NULL,NULL
"James Foster",Charlotte,2,534,267.0,3,1.50,33,16.5,1,0.50,43,21.5,84,42.0
"James Foster","Texas A&M",1,30,30.0,0,0.00,15,15.0,0,0.00,3,3.0,9,9.0
"James Franklin",Missouri,4,6962,1740.5,51,12.75,1729,432.3,21,5.25,586,146.5,943,235.8
"James Hayes","Alabama State",1,88,88.0,2,2.00,-15,-15.0,0,0.00,5,5.0,11,11.0
"James Knapke","Bowling Green",4,4053,1013.3,20,5.00,100,25.0,2,0.50,357,89.3,632,158.0
"James Lark",BYU,3,836,278.7,8,2.67,31,10.3,1,0.33,77,25.7,125,41.7
"James Laubstein","New Mexico",1,67,67.0,1,1.00,93,93.0,0,0.00,8,8.0,11,11.0
"James Lawson",Wofford,2,95,47.5,0,0.00,16,8.0,0,0.00,5,2.5,7,3.5
"James Mauro","Western Kentucky",1,172,172.0,2,2.00,-10,-10.0,0,0.00,12,12.0,18,18.0
"James McCauley",Columbia,1,21,21.0,0,0.00,-9,-9.0,0,0.00,2,2.0,9,9.0
"James Morgan","Bowling Green",2,3342,1671.0,25,12.50,-109,-54.5,0,0.00,279,139.5,538,269.0
"James Morgan","Florida International",2,5287,2643.5,40,20.00,-74,-37.0,3,1.50,420,210.0,683,341.5
"James Mott III",Villanova,1,9,9.0,0,0.00,NULL,NULL,NULL,NULL,2,2.0,3,3.0
"James Murphy",Brown,2,1870,935.0,10,5.00,-30,-15.0,0,0.00,170,85.0,258,129.0
"James Pensyl","Eastern Michigan",1,27,27.0,0,0.00,NULL,NULL,NULL,NULL,2,2.0,2,2.0
"James Smith Jr.","Eastern Kentucky",2,0,0.0,0,0.00,12,6.0,0,0.00,0,0.0,1,0.5
"James Summers","East Carolina",1,13,13.0,0,0.00,1,1.0,0,0.00,3,3.0,4,4.0
"James Tabary","Arkansas State",1,788,788.0,4,4.00,-92,-92.0,0,0.00,65,65.0,105,105.0
"James Tabary",McNeese,2,358,179.0,0,0.00,-33,-16.5,0,0.00,39,19.5,59,29.5
"James Thomas II",UTEP,4,281,70.3,2,0.50,630,157.5,6,1.50,19,4.8,40,10.0
"James Vandenberg",Iowa,4,5786,1446.5,35,8.75,67,16.8,7,1.75,507,126.8,888,222.0
"Jameson Holcomb","Murray State",1,197,197.0,2,2.00,-14,-14.0,0,0.00,18,18.0,29,29.0
"Jameson Holcomb","Valdosta State",1,144,144.0,0,0.00,-7,-7.0,0,0.00,21,21.0,31,31.0
"Jameson Wang",Cornell,3,6420,2140.0,46,15.33,1457,485.7,23,7.67,616,205.3,983,327.7
"Jamie Cunningham",Howard,2,112,56.0,0,0.00,-19,-9.5,0,0.00,13,6.5,24,12.0
"Jamie Hampton",Troy,4,1190,297.5,12,3.00,472,118.0,4,1.00,133,33.3,212,53.0
"Jamie Newman","Wake Forest",3,3959,1319.7,35,11.67,826,275.3,10,3.33,306,102.0,505,168.3
"Jaquez Johnson","Florida Atlantic",3,5673,1891.0,38,12.67,1566,522.0,19,6.33,460,153.3,810,270.0
"Jaquez Parks","Georgia State",1,NULL,NULL,NULL,NULL,6,6.0,0,0.00,NULL,NULL,NULL,NULL
"Jared Barnett","Illinois State",1,282,282.0,2,2.00,1,1.0,0,0.00,20,20.0,29,29.0
"Jared Barnett","Iowa State",2,1825,912.5,12,6.00,567,283.5,1,0.50,162,81.0,328,164.0
"Jared Davis","Tennessee Tech",1,312,312.0,2,2.00,-15,-15.0,0,0.00,16,16.0,26,26.0
"Jared Echols","Charleston Southern",1,24,24.0,0,0.00,-4,-4.0,0,0.00,2,2.0,2,2.0
"Jared Funk",Vanderbilt,1,651,651.0,5,5.00,67,67.0,0,0.00,52,52.0,109,109.0
"Jared Goff",California,3,12200,4066.7,96,32.00,-114,-38.0,1,0.33,977,325.7,1569,523.0
"Jared Hollins","South Alabama",1,5,5.0,0,0.00,NULL,NULL,NULL,NULL,2,2.0,2,2.0
"Jared Johnson","Sam Houston",2,286,143.0,0,0.00,83,41.5,0,0.00,26,13.0,53,26.5
"Jared Johnson",UTSA,1,564,564.0,4,4.00,-35,-35.0,0,0.00,41,41.0,75,75.0
"Jared Lebowitz",UNLV,1,344,344.0,1,1.00,-5,-5.0,1,1.00,26,26.0,62,62.0
"Jared Lewis","Delaware State",2,387,193.5,3,1.50,58,29.0,0,0.00,24,12.0,53,26.5
"Jared Lewis",Hampton,1,47,47.0,0,0.00,-5,-5.0,0,0.00,4,4.0,16,16.0
"Jared Lewis","Long Island University",1,32,32.0,0,0.00,9,9.0,2,2.00,2,2.0,2,2.0
"Jared Lockhart","Jackson State",1,353,353.0,2,2.00,76,76.0,3,3.00,17,17.0,28,28.0
"Jared McClain","Eastern Kentucky",4,395,98.8,1,0.25,85,21.3,1,0.25,33,8.3,75,18.8
"Jared Rayman",Virginia,1,0,0.0,0,0.00,12,12.0,0,0.00,0,0.0,1,1.0
"Jared Taylor","Eastern Washington",3,765,255.0,7,2.33,1024,341.3,16,5.33,92,30.7,159,53.0
"Jared Wackerly",Akron,1,36,36.0,0,0.00,2,2.0,0,0.00,4,4.0,5,5.0
"Jaren Hall",BYU,4,6174,1543.5,52,13.00,796,199.0,9,2.25,468,117.0,718,179.5
"Jaren Lewis","Kansas State",1,154,154.0,1,1.00,3,3.0,0,0.00,12,12.0,23,23.0
"Jarin Morikawa","Jackson State",1,7,7.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,1,1.0
"Jarod Neal","UT Martin",3,1011,337.0,3,1.00,31,10.3,1,0.33,87,29.0,148,49.3
"Jaron-Keawe Sagapolutele",California,1,1974,1974.0,11,11.00,-54,-54.0,2,2.00,174,174.0,286,286.0
"Jarrad Hayes","Jackson State",2,53,26.5,1,0.50,-4,-2.0,0,0.00,8,4.0,11,5.5
"Jarrad Hayes",Southern,1,91,91.0,0,0.00,-6,-6.0,0,0.00,7,7.0,10,10.0
