player_name,college_team,nfl_seasons_played,career_nfl_passing_yards,avg_nfl_passing_yards_per_season,career_nfl_passing_tds,avg_nfl_passing_tds_per_season,career_nfl_rushing_yards,avg_nfl_rushing_yards_per_season,career_nfl_rushing_tds,avg_nfl_rushing_tds_per_season,career_nfl_completions,avg_nfl_completions_per_season,career_nfl_attempts,avg_nfl_attempts_per_season
T.Brown,NULL,1,201,201.0,1,1.00,10,10.0,0,0.00,15,15.0,33,33.0
T.Collins,NULL,5,1408,281.6,7,1.40,5,1.0,0,0.00,119,23.8,214,42.8
T.Couch,NULL,5,10569,2113.8,61,12.20,532,106.4,2,0.40,984,196.8,1631,326.2
T.Detmer,NULL,2,1454,727.0,7,3.50,64,32.0,1,0.50,139,69.5,242,121.0
T.DeVito,NULL,2,1358,679.0,8,4.00,227,113.5,1,0.50,145,72.5,222,111.0
T.Dilfer,NULL,8,9758,1219.8,57,7.13,354,44.3,0,0.00,823,102.9,1451,181.4
T.Edwards,NULL,5,6033,1206.6,26,5.20,330,66.0,3,0.60,563,112.6,929,185.8
T.Graziani,NULL,1,759,759.0,2,2.00,11,11.0,0,0.00,62,62.0,118,118.0
T.Green,NULL,6,13627,2271.2,73,12.17,328,54.7,1,0.17,1089,181.5,1738,289.7
T.Hasselbeck,NULL,3,1012,337.3,5,1.67,37,12.3,0,0.00,95,31.7,177,59.0
T.Heinicke,NULL,7,6969,995.6,40,5.71,654,93.4,4,0.57,633,90.4,1015,145.0
T.Huntley,NULL,6,3326,554.3,14,2.33,822,137.0,5,0.83,357,59.5,554,92.3
T.Husak,NULL,1,-2,-2.0,0,0.00,-1,-1.0,0,0.00,2,2.0,2,2.0
T.Jackson,NULL,9,7427,825.2,39,4.33,650,72.2,6,0.67,655,72.8,1109,123.2
T.Lance,NULL,4,1107,276.8,5,1.25,287,71.8,1,0.25,84,21.0,147,36.8
T.Lawrence,NULL,5,15940,3188.0,83,16.60,1230,246.0,16,3.20,1492,298.4,2379,475.8
T.Lewis,NULL,2,1296,648.0,5,2.50,55,27.5,1,0.50,115,57.5,189,94.5
T.Maddox,NULL,5,5023,1004.6,35,7.00,99,19.8,1,0.20,418,83.6,718,143.6
T.Martin,NULL,1,0,0.0,0,0.00,8,8.0,0,0.00,0,0.0,0,0.0
T.McKee,NULL,2,323,161.5,4,2.00,-3,-1.5,0,0.00,30,15.0,45,22.5
T.McSorley,NULL,3,502,167.3,1,0.33,79,26.3,0,0.00,48,16.0,93,31.0
T.Palko,NULL,2,831,415.5,2,1.00,20,10.0,0,0.00,84,42.0,140,70.0
"T.Pike (3rd QB)",NULL,1,47,47.0,0,0.00,0,0.0,0,0.00,6,6.0,12,12.0
T.Rattay,NULL,8,4853,606.6,31,3.88,77,9.6,0,0.00,432,54.0,714,89.3
T.Romo,NULL,12,35499,2958.3,256,21.33,649,54.1,5,0.42,2943,245.3,4521,376.8
T.Savage,NULL,3,2000,666.7,5,1.67,8,2.7,0,0.00,181,60.3,315,105.0
T.Shough,NULL,1,128,128.0,0,0.00,12,12.0,0,0.00,17,17.0,32,32.0
T.Siemian,NULL,7,7751,1107.3,44,6.29,251,35.9,2,0.29,707,101.0,1208,172.6
T.Smith,NULL,4,1734,433.5,8,2.00,232,58.0,3,0.75,121,30.3,234,58.5
T.Stevens,NULL,1,0,0.0,0,0.00,24,24.0,0,0.00,0,0.0,0,0.0
T.Tagovailoa,NULL,6,17484,2914.0,116,19.33,494,82.3,6,1.00,1591,265.2,2347,391.2
T.Taylor,NULL,15,12351,823.4,68,4.53,2333,155.5,18,1.20,1114,74.3,1814,120.9
T.Tebow,NULL,3,2874,958.0,19,6.33,1052,350.7,13,4.33,192,64.0,408,136.0
T.Thigpen,NULL,6,3222,537.0,21,3.50,469,78.2,3,0.50,275,45.8,509,84.8
T.Woodbury,NULL,2,0,0.0,0,0.00,0,0.0,0,0.00,0,0.0,0,0.0
T.Yates,NULL,6,2400,400.0,11,1.83,104,17.3,1,0.17,207,34.5,379,63.2
Tr.Brown,NULL,2,160,80.0,0,0.00,5,2.5,0,0.00,14,7.0,19,9.5
Ty.Taylor,NULL,1,416,416.0,3,3.00,55,55.0,1,1.00,31,31.0,44,44.0
V.Testaverde,NULL,9,14006,1556.2,74,8.22,151,16.8,3,0.33,1254,139.3,2143,238.1
V.Young,NULL,6,9102,1517.0,46,7.67,1472,245.3,12,2.00,771,128.5,1332,222.0
W.Grier,NULL,1,228,228.0,0,0.00,22,22.0,0,0.00,28,28.0,52,52.0
W.Levis,NULL,2,3899,1949.5,21,10.50,240,120.0,1,0.50,339,169.5,556,278.0
W.Moon,NULL,2,228,114.0,1,0.50,2,1.0,0,0.00,16,8.0,37,18.5
Z.Mettenberger,NULL,2,2347,1173.5,12,6.00,12,6.0,1,0.50,208,104.0,345,172.5
Z.Wilson,NULL,4,6325,1581.3,23,5.75,501,125.3,5,1.25,572,143.0,1002,250.5
