"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2012,"UCF","Conference USA",14,26636,257,412,3158,28,7,527,2545,33,5703,8,15,301,186,91,9,15,60,507,38,943,3,25,266,0,11,246,2
2012,"UCLA","Pac-12",14,26095,325,497,3837,29,11,599,2671,29,6508,14,25,329,218,83,11,22,130,1253,46,967,0,34,302,0,15,129,0
2012,"UConn","Big East",12,22406,219,388,2760,10,18,419,1055,10,3815,8,26,203,177,64,1,7,56,466,31,587,0,23,274,3,6,36,1
2012,"UL Monroe","Sun Belt",13,23763,343,539,3779,33,15,450,1847,24,5626,4,19,309,209,98,24,35,70,567,43,933,0,26,149,0,16,137,1
2012,"UNLV","Mountain West",13,22602,250,468,2845,18,17,452,1938,16,4783,6,23,252,200,82,10,26,67,678,56,1077,0,17,103,0,9,97,0
2012,"USC","Pac-12",13,23221,284,461,3670,39,20,392,1958,12,5628,14,34,280,152,52,13,27,100,808,37,976,1,27,158,1,19,256,2
2012,"Utah","Pac-12",12,23877,220,351,2288,16,9,446,1605,17,3893,9,18,213,170,57,13,26,83,740,31,803,4,31,150,0,8,96,1
2012,"Utah State","Western Athletic",13,21738,285,420,3445,27,10,473,2653,30,6098,11,21,271,181,82,5,10,90,936,37,816,0,32,308,1,14,191,1
2012,"UTEP","Conference USA",12,21093,198,376,2688,16,13,455,1782,13,4470,10,23,232,174,62,8,21,58,501,47,1096,2,20,191,1,7,20,0
2012,"UTSA","Western Athletic",12,22778,221,368,2772,23,7,430,1911,21,4683,8,15,233,163,73,5,13,93,898,45,810,0,18,281,1,13,112,1
2012,"Vanderbilt","SEC",13,23419,207,350,2774,17,5,524,2162,25,4936,13,18,241,188,63,17,30,77,584,41,874,0,36,373,3,11,320,2
2012,"Virginia","ACC",12,23830,276,474,3216,23,15,417,1542,10,4758,11,26,228,192,70,15,27,82,706,55,1152,0,23,89,0,4,77,0
2012,"Virginia Tech","ACC",13,23548,224,437,3002,18,17,507,1896,18,4898,8,25,250,212,81,7,20,78,663,45,1082,1,36,383,1,13,100,0
2012,"Wake Forest","ACC",12,21660,239,427,2410,13,7,402,1206,15,3616,8,15,188,198,63,10,21,53,461,39,644,0,16,156,0,11,45,1
2012,"Washington","Pac-12",13,25060,266,438,2767,19,14,466,1851,19,4618,14,28,248,188,67,10,24,108,969,43,909,0,22,135,0,17,204,1
2012,"Washington State","Pac-12",12,19905,363,624,3965,23,21,252,349,6,4314,9,30,250,186,59,12,27,86,789,43,942,0,13,89,0,15,202,0
2012,"Western Kentucky","Sun Belt",13,25239,213,335,2667,24,12,506,2318,21,4985,12,24,264,166,80,7,18,80,765,48,1083,0,22,234,1,13,141,1
2012,"Western Michigan","Mid-American",12,20996,304,511,3477,28,21,404,1794,17,5271,10,31,284,182,84,6,12,76,611,53,1033,0,17,190,0,8,8,0
2012,"West Virginia","Big 12",13,22274,378,537,4292,44,7,461,2234,21,6526,6,13,330,182,80,17,34,72,665,57,1118,1,15,165,1,10,123,0
2012,"Wisconsin","Big Ten",14,27517,170,291,2197,15,6,635,3309,38,5506,6,12,267,194,69,9,18,53,506,23,489,0,26,212,1,8,180,1
2012,"Wyoming","Mountain West",12,20293,249,411,3180,29,8,441,1492,13,4672,5,13,248,179,75,12,20,54,507,30,541,0,14,188,0,6,264,1
2013,"Air Force","Mountain West",12,20284,93,174,1259,8,4,637,3152,30,4411,9,13,230,172,76,16,27,53,428,29,657,0,7,23,0,4,38,0
2013,"Akron","Mid-American",12,21001,234,419,2633,18,10,418,1471,12,4104,11,21,227,183,72,7,18,78,642,44,817,0,22,72,0,13,132,1
2013,"Alabama","SEC",13,24923,244,365,3230,30,7,461,2673,28,5903,10,17,302,147,70,7,12,63,520,30,736,1,30,413,3,11,253,3
2013,"Arizona","Pac-12",13,22295,233,383,2516,16,7,647,3444,36,5960,11,18,311,212,100,12,30,52,478,34,676,0,27,166,0,18,303,5
2013,"Arizona State","Pac-12",14,25435,309,494,3723,28,12,608,2679,36,6402,6,18,340,215,84,15,25,56,439,45,970,0,37,206,0,21,345,5
2013,"Arkansas","SEC",12,21897,150,301,1782,15,11,474,2504,14,4286,12,23,222,156,65,7,15,49,461,36,740,0,9,67,0,8,62,1
2013,"Arkansas State","Sun Belt",13,23927,255,368,2627,14,7,579,2674,31,5301,7,14,275,194,86,6,21,94,783,40,957,1,22,184,1,9,117,0
2013,"Army","FBS Independents",12,22828,75,154,931,4,4,693,3717,34,4648,13,17,251,168,72,13,26,45,390,40,611,0,14,47,0,7,0,0
2013,"Auburn","SEC",14,25369,173,285,2422,20,8,729,4596,48,7018,11,19,334,187,87,8,15,70,569,40,936,2,35,377,1,13,112,1
2013,"Ball State","Mid-American",13,22381,322,509,4214,35,8,451,1988,28,6202,11,19,329,170,76,5,14,49,404,44,905,0,10,84,0,13,130,0
2013,"Baylor","Big 12",13,21404,277,448,4668,35,6,626,3376,47,8044,10,16,371,202,95,13,25,120,1070,49,1056,1,29,250,2,19,441,5
2013,"Boise State","Mountain West",13,22047,329,466,3610,28,11,563,2578,33,6188,13,24,326,201,95,12,23,54,489,47,1137,1,23,361,0,16,134,1
2013,"Boston College","ACC",13,22899,165,269,2012,17,8,523,2762,24,4774,9,17,211,177,61,5,9,47,399,47,946,1,20,194,0,9,163,1
2013,"Bowling Green","Mid-American",14,28511,255,404,3725,27,7,578,2706,30,6431,4,11,323,177,81,10,22,72,633,25,605,1,16,215,2,8,200,0
2013,"Buffalo","Mid-American",13,24520,243,427,2955,25,8,538,2176,21,5131,7,15,276,203,81,8,17,77,798,48,1036,1,10,60,0,15,222,3
2013,"BYU","FBS Independents",13,22614,237,447,2942,19,14,664,3475,24,6417,7,21,325,231,87,11,21,102,863,44,1088,0,38,335,1,13,143,3
2013,"California","Pac-12",12,20825,368,622,3977,22,14,424,1466,10,5443,14,28,292,214,72,16,38,85,811,71,1408,0,22,57,0,5,0,0
2013,"Central Michigan","Mid-American",12,21755,192,346,2500,15,17,410,1593,16,4093,10,27,208,154,66,3,10,52,500,43,999,1,18,118,0,14,296,3
2013,"Cincinnati","American Athletic",13,24958,311,469,3947,28,17,516,2190,28,6137,11,28,315,190,92,9,19,80,752,33,711,0,30,162,0,13,249,1
2013,"Clemson","ACC",13,23374,341,493,4330,39,12,544,2270,26,6600,12,24,327,197,88,15,26,73,650,29,545,0,27,252,0,18,264,2
2013,"Colorado","Pac-12",12,20642,235,411,2989,21,15,421,1450,10,4439,9,24,233,172,58,4,14,52,461,49,1085,1,10,45,0,10,202,2
2013,"Colorado State","Mountain West",14,25820,298,480,3730,24,11,571,2861,37,6591,9,20,321,213,92,15,25,76,676,41,976,0,21,279,1,10,26,0
2013,"Duke","ACC",14,24884,298,472,3474,26,19,544,2492,28,5966,6,25,298,200,79,16,23,64,570,37,890,2,30,423,2,18,216,2
2013,"East Carolina","Conference USA",13,22853,397,565,4265,35,10,463,1821,30,6086,6,16,346,196,100,12,17,69,584,28,703,0,31,308,0,18,298,2
2013,"Eastern Michigan","Mid-American",12,21569,178,336,2137,14,14,445,1896,13,4033,9,23,222,162,55,12,21,64,511,69,1288,1,8,59,0,7,66,1
2013,"Florida","SEC",12,24329,199,311,2051,11,9,482,1749,14,3800,11,20,213,172,67,11,19,89,711,34,844,1,24,228,0,10,172,1
2013,"Florida Atlantic","Conference USA",12,23006,196,353,2375,16,11,499,2190,21,4565,11,22,233,185,74,8,15,57,486,25,537,0,34,204,1,13,220,2
2013,"Florida International","Conference USA",12,22776,153,293,1713,8,10,445,915,5,2628,10,20,156,173,39,10,23,58,509,33,693,0,17,153,0,7,48,0
2013,"Florida State","ACC",14,24612,288,442,4423,42,13,505,2844,42,7267,5,18,357,157,82,3,4,79,694,32,873,2,37,340,0,26,529,5
2013,"Fresno State","Mountain West",13,21501,460,675,5133,50,10,413,1967,21,7100,11,21,369,197,83,21,32,68,660,55,1048,0,24,278,2,14,223,2
2013,"Georgia","SEC",13,24082,293,459,4085,31,12,486,2209,26,6294,10,22,324,166,69,13,22,83,617,26,465,0,25,73,0,7,78,1
2013,"Georgia State","Sun Belt",12,20153,218,430,3036,18,12,364,1227,9,4263,11,23,208,181,60,9,20,77,569,58,1160,0,17,142,1,6,16,0
2013,"Georgia Tech","ACC",13,25854,92,203,1695,12,13,713,3891,46,5586,11,24,283,175,90,8,18,63,529,40,881,0,19,160,0,14,255,2
2013,"Hawai'i","Mountain West",12,19039,296,519,3617,31,22,428,1375,12,4992,12,34,261,198,64,12,27,88,777,52,1111,0,25,186,0,9,85,1
2013,"Houston","American Athletic",13,20556,299,518,3647,30,10,435,1807,19,5454,8,18,282,191,68,4,17,98,881,47,1187,1,21,73,0,25,305,2
2013,"Idaho","FBS Independents",12,23582,224,424,2770,15,13,501,1650,12,4420,14,27,231,209,69,15,35,77,608,48,991,0,28,131,0,10,67,0
2013,"Illinois","Big Ten",12,20963,302,455,3452,23,14,411,1668,20,5120,7,21,288,170,81,5,15,70,563,52,1015,1,22,272,1,3,22,0
2013,"Indiana","Big Ten",12,18507,279,470,3680,36,14,458,2422,25,6102,6,20,300,184,86,12,24,62,515,50,1052,0,11,130,1,7,55,0
2013,"Iowa","Big Ten",13,24160,213,375,2562,19,15,557,2339,18,4901,7,22,256,202,88,5,17,52,425,39,857,0,25,337,2,13,174,2
2013,"Iowa State","Big 12",12,22777,232,415,2630,19,14,488,1726,16,4356,8,22,227,203,70,13,19,66,564,50,1085,2,20,178,0,8,18,0
2013,"Kansas","Big 12",12,21249,154,329,1685,9,12,496,1849,12,3534,11,23,174,190,53,7,28,88,713,44,927,0,18,203,0,14,171,1
2013,"Kansas State","Big 12",13,25372,197,314,2921,22,13,514,2314,29,5235,12,25,260,162,79,4,7,66,585,37,866,1,16,200,0,17,401,3
2013,"Kent State","Mid-American",12,21963,209,362,2238,14,9,434,2189,16,4427,8,17,227,172,68,9,19,74,641,53,923,1,17,66,0,9,84,0
2013,"Kentucky","SEC",12,20713,204,343,2319,14,6,431,1775,16,4094,9,15,212,165,51,17,28,69,591,39,784,0,24,136,0,3,70,0
2013,"Louisiana","Sun Belt",13,23192,196,319,2759,21,14,564,2659,33,5418,8,22,283,174,87,4,14,68,641,44,853,1,15,157,1,14,352,3
2013,"Louisiana Tech","Conference USA",12,19483,254,448,2472,10,15,410,1922,14,4394,14,29,234,184,66,5,16,56,479,36,766,0,24,103,0,18,134,1
2013,"Louisville","American Athletic",13,26299,311,439,4082,33,4,455,1909,18,5991,6,10,304,175,98,2,6,92,836,28,636,1,28,206,1,16,191,2
2013,"LSU","SEC",13,24162,205,326,3263,23,9,523,2630,37,5893,10,19,286,161,92,3,9,90,732,37,917,0,25,172,0,11,76,0
2013,"Marshall","Conference USA",14,23044,315,522,4122,42,10,571,2883,34,7005,13,23,364,210,108,13,22,84,649,48,1111,0,36,431,1,18,184,3
2013,"Maryland","ACC",13,23479,230,415,3231,18,10,476,1929,18,5160,18,28,246,189,60,6,18,58,477,51,1165,0,19,204,1,11,118,2
2013,"Massachusetts","Mid-American",12,21415,177,339,1877,9,18,448,1502,5,3379,8,26,182,186,67,9,22,60,459,61,1227,1,12,147,0,8,41,0
2013,"Memphis","American Athletic",12,21542,206,361,2078,9,11,438,1660,14,3738,15,26,212,173,53,13,27,92,862,46,1088,0,27,204,0,11,269,2
2013,"Miami","ACC",13,20161,226,384,3452,25,14,436,2084,25,5536,8,22,247,160,56,8,19,71,582,61,1505,1,27,305,1,18,250,2
2013,"Miami (OH)","Mid-American",12,20588,131,286,1491,8,11,451,1219,5,2710,10,21,156,167,41,11,26,52,410,48,894,0,15,139,0,10,35,0
2013,"Michigan","Big Ten",13,25126,237,395,3221,21,13,498,1634,27,4855,8,21,266,181,71,7,13,54,448,51,1128,0,19,114,1,17,322,2
2013,"Michigan State","Big Ten",14,29242,248,430,2964,23,7,569,2433,23,5397,8,15,293,214,94,9,14,76,706,18,345,0,37,353,0,17,145,2
2013,"Middle Tennessee","Conference USA",13,21951,238,403,2707,17,15,526,2591,25,5298,6,21,283,191,88,6,16,54,555,39,821,0,19,123,2,15,270,4
2013,"Minnesota","Big Ten",13,25619,137,267,1925,12,7,586,2538,23,4463,9,16,238,182,77,14,20,57,469,40,884,1,20,170,1,10,191,3
2013,"Mississippi State","SEC",13,26450,253,429,3178,18,12,527,2469,29,5647,6,18,305,177,69,13,29,64,516,29,607,0,25,87,0,14,233,1
2013,"Missouri","SEC",14,25132,267,454,3540,31,8,588,3330,35,6870,8,16,343,194,85,10,16,73,543,30,692,0,25,168,0,20,232,2
2013,"Navy","FBS Independents",13,24607,74,146,1117,8,4,775,4230,50,5347,6,10,310,174,89,19,28,34,282,32,700,0,10,74,0,13,120,0
2013,"NC State","ACC",12,22758,249,426,2890,14,15,519,1952,14,4842,6,21,249,215,82,14,31,69,520,44,835,0,22,275,2,12,146,1
2013,"Nebraska","Big Ten",13,22740,218,378,2557,25,13,584,2804,24,5361,16,29,289,186,73,10,15,76,665,41,934,1,24,70,0,14,257,4
2013,"Nevada","Mountain West",12,23236,275,415,3003,17,5,559,2148,23,5151,6,11,278,199,86,14,28,69,553,38,662,0,17,124,0,10,69,0
2013,"New Mexico","Mountain West",12,23132,90,177,1356,9,5,604,3706,40,5062,9,14,241,152,58,15,28,44,363,67,1608,3,14,60,0,4,51,0
2013,"New Mexico State","FBS Independents",12,21681,265,407,2886,18,13,444,1699,14,4585,13,26,234,172,62,4,11,51,455,47,835,0,14,91,0,10,84,0
2013,"North Carolina","ACC",13,22339,283,453,3606,28,11,490,1928,19,5534,7,18,279,189,77,14,21,96,831,50,1166,2,31,544,5,13,95,1
2013,"Northern Illinois","Mid-American",14,23836,261,418,3116,29,8,655,4161,39,7277,9,17,365,197,89,14,21,75,621,44,1006,1,21,161,0,19,244,2
2013,"North Texas","Conference USA",13,25722,261,402,2987,16,14,549,2349,31,5336,9,23,279,202,95,8,15,82,687,37,858,1,35,457,4,18,266,2
2013,"Northwestern","Big Ten",12,21031,241,382,2726,15,13,507,2069,16,4795,7,20,255,188,75,6,14,49,417,30,652,0,9,64,0,19,261,4
2013,"Notre Dame","FBS Independents",13,22672,226,429,3313,27,13,440,1963,12,5276,4,17,267,176,74,5,13,73,598,42,998,0,15,106,0,13,93,3
2013,"Ohio","Mid-American",13,22081,256,425,3190,22,13,462,1742,16,4932,11,24,254,189,74,5,12,74,700,57,1104,0,36,315,0,14,180,3
2013,"Ohio State","Big Ten",14,26316,238,368,2846,38,9,635,4321,45,7167,10,19,361,169,79,14,22,73,638,29,665,0,31,243,1,16,197,2
2013,"Oklahoma","Big 12",13,25182,225,383,2588,24,11,559,2911,19,5499,5,16,280,195,77,11,16,87,723,33,761,0,24,326,2,16,258,3
2013,"Oklahoma State","Big 12",13,20820,280,484,3599,26,13,503,2235,35,5834,5,18,287,197,76,5,11,87,780,38,871,1,30,403,2,21,337,2
2013,"Ole Miss","SEC",13,23091,310,490,3683,24,13,528,2470,22,6153,8,21,317,197,90,15,28,72,541,35,661,0,17,113,2,13,61,0
2013,"Oregon","Pac-12",13,20303,256,405,3789,32,6,568,3556,42,7345,12,18,348,160,69,15,31,106,912,49,1063,1,24,285,2,17,309,3
2013,"Oregon State","Pac-12",13,25082,413,625,4844,38,16,355,1227,15,6071,10,26,323,180,73,14,26,82,658,69,1367,1,24,103,0,19,200,3
2013,"Penn State","Big Ten",12,21509,241,409,3110,21,10,501,2088,22,5198,12,22,270,172,59,13,24,55,403,37,689,0,24,184,0,13,127,0
2013,"Pittsburgh","ACC",13,24018,244,401,3074,21,9,452,1634,20,4708,8,17,250,173,66,5,10,75,605,50,1077,0,17,169,1,8,116,1
2013,"Purdue","Big Ten",12,19793,235,426,2590,15,13,319,805,6,3395,9,22,178,172,53,12,25,61,508,50,1129,2,10,97,0,13,59,0
2013,"Rice","Conference USA",14,27508,177,347,2495,20,9,699,3183,31,5678,10,19,302,216,85,9,16,74,624,33,608,0,21,132,0,14,113,1
2013,"Rutgers","American Athletic",13,22679,240,442,3063,22,22,455,1684,17,4747,8,30,254,186,65,21,27,84,699,48,1057,2,21,216,2,8,47,0
2013,"San Diego State","Mountain West",13,25360,260,462,3358,19,14,510,2166,30,5524,16,30,269,211,86,15,38,88,768,56,1157,0,17,213,2,8,54,1
2013,"San José State","Mountain West",12,22349,317,496,4271,34,14,432,1648,12,5919,8,22,295,189,82,16,26,61,561,44,814,0,10,52,0,12,58,0
2013,"SMU","American Athletic",12,20767,400,619,4097,23,12,326,1125,13,5222,12,24,276,198,77,13,27,90,770,47,907,0,18,134,1,11,96,1
2013,"South Alabama","Sun Belt",12,21371,231,394,3033,16,9,488,2073,25,5106,4,13,266,180,72,8,22,64,549,27,621,0,18,104,1,11,206,1
2013,"South Carolina","SEC",13,25132,239,383,3300,30,4,537,2580,27,5880,13,17,291,180,79,21,30,68,543,38,709,0,22,83,0,18,121,0
2013,"Southern Miss","Conference USA",12,19399,249,485,2911,19,26,335,875,5,3786,12,38,208,179,53,7,16,67,508,57,1124,0,13,161,0,6,43,0
2013,"South Florida","American Athletic",12,20515,166,357,2002,7,16,359,1064,4,3066,12,28,154,172,49,5,16,102,861,47,920,0,14,198,1,11,56,1
2013,"Stanford","Pac-12",14,26525,190,311,2771,21,10,584,2904,30,5675,9,19,263,197,98,8,14,74,620,43,1178,2,17,135,0,13,172,3
2013,"Syracuse","ACC",13,23660,242,405,2366,13,17,553,2533,25,4899,5,22,251,209,81,8,17,99,804,37,722,0,33,258,0,15,163,0
2013,"TCU","Big 12",12,22489,240,419,2715,14,17,403,1423,20,4138,13,30,213,175,56,6,15,79,649,41,1025,2,27,298,0,19,195,1
2013,"Temple","American Athletic",12,21782,235,418,2996,23,11,422,1792,17,4788,8,19,249,173,73,11,23,77,641,48,927,0,19,91,1,3,10,0
2013,"Tennessee","SEC",12,20616,191,344,1979,12,17,460,2261,18,4240,7,24,223,159,57,5,11,55,455,37,880,0,16,143,1,14,243,4
2013,"Texas","Big 12",13,23585,246,431,2762,18,15,574,2551,25,5313,7,22,273,222,90,11,24,67,597,43,862,0,34,355,1,10,78,1
2013,"Texas A&M","SEC",13,21052,339,489,4593,40,13,465,2406,33,6999,8,21,356,161,81,11,18,81,690,47,1012,0,22,147,0,17,247,4
2013,"Texas State","Sun Belt",12,22879,166,300,1857,11,11,471,2058,22,3915,6,17,195,172,59,11,21,87,751,39,897,2,21,284,0,11,169,1
2013,"Texas Tech","Big 12",13,22386,453,714,5107,35,18,422,1536,19,6643,15,33,359,218,98,8,18,104,978,39,885,1,32,212,0,8,178,1
2013,"Toledo","Mid-American",12,20976,213,361,2481,19,10,482,2887,26,5368,6,16,274,152,64,8,16,69,609,48,875,0,11,100,0,8,45,0
2013,"Troy","Sun Belt",12,21129,325,483,3867,28,9,437,1692,23,5559,9,18,275,186,82,14,21,88,895,44,701,0,12,149,1,6,170,2
2013,"Tulane","Conference USA",13,23403,219,409,2399,19,16,461,1639,15,4038,8,24,217,194,69,6,11,92,815,30,606,0,30,132,0,19,382,3
2013,"Tulsa","Conference USA",12,20631,210,429,2297,12,19,483,1977,15,4274,15,34,237,203,71,17,30,37,305,41,940,0,23,154,0,15,169,0
2013,"UAB","Conference USA",12,21915,185,353,2578,19,9,455,2137,17,4715,11,20,240,168,63,10,21,72,579,54,1080,1,10,117,1,7,43,0
2013,"UCF","American Athletic",13,25072,269,404,3661,26,11,471,2079,28,5740,10,21,291,158,77,3,8,62,541,41,923,0,18,196,0,14,112,0
2013,"UCLA","Pac-12",13,23071,265,390,3274,25,9,566,2556,36,5830,7,16,303,192,94,5,12,106,955,46,1168,0,28,232,1,14,230,1
2013,"UConn","American Athletic",12,22338,241,439,2810,16,18,388,1013,12,3823,7,25,217,184,63,11,20,56,493,40,747,0,20,62,0,13,124,1
2013,"UL Monroe","Sun Belt",12,23412,262,471,2850,22,14,389,1474,10,4324,9,23,212,203,77,6,20,61,503,34,643,1,18,127,1,13,229,2
2013,"UNLV","Mountain West",13,22992,299,483,3105,27,10,507,2243,25,5348,5,15,307,193,77,12,25,45,406,51,1168,0,18,52,0,11,87,0
2013,"USC","Pac-12",14,28813,250,389,3180,20,9,535,2419,29,5599,8,17,278,185,65,8,15,94,811,32,476,0,33,425,3,17,150,1
2013,"Utah","Pac-12",12,21626,208,391,2835,22,21,473,1924,19,4759,4,25,235,187,64,11,18,56,542,37,688,0,33,314,0,3,22,1
2013,"Utah State","Mountain West",14,26177,297,481,3268,30,10,592,2493,21,5761,9,19,310,232,105,8,19,84,782,24,539,0,38,372,2,17,241,2
2013,"UTEP","Conference USA",12,23225,169,292,1959,14,10,534,2216,17,4175,8,18,218,187,75,14,21,48,409,46,1130,2,16,87,0,3,0,0
2013,"UTSA","Conference USA",12,23812,259,412,2909,13,13,426,2105,23,5014,8,21,263,167,75,10,13,75,666,36,755,0,10,52,0,8,166,1
2013,"Vanderbilt","SEC",13,24919,243,376,2958,15,16,504,1807,34,4765,7,23,244,182,60,22,28,63,518,45,872,0,25,88,0,18,277,0
2013,"Virginia","ACC",12,23984,277,506,2542,9,17,489,1879,18,4421,9,26,253,229,87,6,25,81,659,54,1003,0,33,235,0,10,42,0
2013,"Virginia Tech","ACC",13,26275,243,432,3071,16,15,493,1557,17,4628,4,19,233,203,65,10,17,86,672,34,690,0,47,206,1,19,94,1
2013,"Wake Forest","ACC",12,21894,219,414,2359,14,14,388,1129,11,3488,9,23,200,184,65,10,12,71,596,21,366,0,22,126,0,12,213,2
2013,"Washington","Pac-12",13,22797,270,413,3384,25,8,610,3107,35,6491,8,16,319,202,99,8,19,105,932,39,907,1,15,77,0,16,233,2
2013,"Washington State","Pac-12",13,22785,470,756,4784,36,24,243,694,10,5478,11,35,301,200,79,15,25,75,628,51,1047,0,23,188,0,16,330,4
2013,"Western Kentucky","Sun Belt",12,24079,266,407,3140,15,16,468,2362,31,5502,15,31,288,158,73,12,24,74,559,40,773,0,20,136,0,14,118,0
2013,"Western Michigan","Mid-American",12,20627,215,438,2532,12,18,389,1394,10,3926,8,26,212,188,58,10,22,83,724,43,860,0,11,89,0,8,23,0
2013,"West Virginia","Big 12",12,21691,251,464,3145,16,16,427,1784,18,4929,16,32,246,185,59,4,18,63,588,54,984,0,18,76,0,12,151,1
2013,"Wisconsin","Big Ten",13,26184,217,355,2562,22,15,557,3689,35,6251,4,19,286,177,74,11,20,54,474,31,716,1,29,208,0,9,30,0
2013,"Wyoming","Mountain West",12,18502,297,473,3389,29,12,449,2285,21,5674,12,24,280,188,85,10,22,66,582,33,523,0,18,78,0,9,162,2
2014,"Air Force","Mountain West",13,24560,117,206,1893,15,4,796,3550,35,5443,13,17,287,213,100,20,28,46,460,34,709,0,14,71,0,10,72,0
2014,"Akron","Mid-American",12,20988,284,527,2995,14,14,363,1484,18,4479,12,26,259,179,61,7,21,101,870,32,626,0,19,75,0,12,201,1
2014,"Alabama","SEC",14,27657,290,451,3890,32,10,567,2893,35,6783,12,22,340,199,102,10,13,69,562,50,1006,0,25,234,0,11,84,0
2014,"App State","Sun Belt",12,22806,205,340,2637,21,11,537,2901,33,5538,10,21,283,172,84,14,23,88,755,32,551,0,12,65,1,12,97,1
2014,"Arizona","Pac-12",14,23611,320,564,3945,29,10,575,2546,26,6491,8,18,346,234,89,16,26,92,881,38,817,1,17,174,1,13,138,1
2014,"Arizona State","Pac-12",13,22292,281,467,3556,34,9,508,2194,20,5750,4,13,301,199,76,10,23,58,421,23,555,0,15,55,0,14,276,3
2014,"Arkansas","SEC",13,26599,199,359,2444,21,6,557,2834,32,5278,11,17,288,188,88,12,19,68,581,24,617,1,22,206,0,12,241,1
2014,"Arkansas State","Sun Belt",13,23064,276,448,3381,25,8,576,2813,35,6194,14,22,304,207,78,18,36,104,905,48,1057,0,35,250,1,16,266,3
2014,"Army","FBS Independents",12,22234,50,105,747,3,2,665,3558,33,4305,11,13,216,154,63,16,31,49,435,41,659,0,18,65,2,11,237,2
2014,"Auburn","SEC",13,23800,208,332,2984,23,7,607,3321,32,6305,13,20,314,179,94,3,7,92,896,35,701,0,17,303,2,22,130,1
2014,"Ball State","Mid-American",12,21476,232,409,2590,19,7,448,1841,16,4431,8,15,243,186,71,11,13,50,469,44,1002,0,9,60,0,10,177,0
2014,"Baylor","Big 12",13,22578,323,519,4757,38,8,619,2802,43,7559,5,13,391,214,100,25,34,127,1149,40,801,0,20,93,0,13,203,0
2014,"Boise State","Mountain West",14,27070,310,451,3926,27,15,609,2994,39,6920,9,24,338,206,91,10,21,92,801,63,1114,0,29,286,1,22,284,5
2014,"Boston College","ACC",13,25768,135,243,1681,13,10,635,3307,31,4988,3,13,248,178,64,12,21,57,478,35,854,1,16,125,0,9,86,0
2014,"Bowling Green","Mid-American",14,22045,317,547,3639,17,13,556,2422,30,6061,10,23,310,231,87,7,23,110,872,62,1288,1,18,163,2,16,172,0
2014,"Buffalo","Mid-American",11,22215,235,367,2855,32,12,443,1965,16,4820,6,18,244,164,75,12,23,58,588,46,879,0,13,89,0,2,0,0
2014,"BYU","FBS Independents",13,21831,289,483,3623,32,12,567,2363,28,5986,15,27,325,206,89,15,23,110,1053,49,975,1,30,224,0,14,249,2
2014,"California","Pac-12",12,22079,329,535,4152,37,10,440,1790,22,5942,10,20,319,191,88,19,28,107,987,53,1170,2,24,175,0,12,60,0
2014,"Central Michigan","Mid-American",13,25946,243,382,3157,27,13,504,2018,19,5175,14,27,287,162,70,7,16,70,592,42,811,0,18,75,0,14,94,1
2014,"Cincinnati","American Athletic",13,22281,294,491,3947,35,14,454,2035,18,5982,8,22,310,177,73,11,16,59,542,49,961,0,14,79,0,8,46,0
2014,"Clemson","ACC",13,25603,292,451,3404,23,12,539,1904,20,5308,6,18,267,223,93,5,14,52,450,29,544,0,34,198,1,12,213,2
2014,"Colorado","Pac-12",12,23351,348,545,3415,29,15,451,1855,13,5270,6,21,296,202,81,14,29,86,822,41,972,0,18,117,0,3,28,0
2014,"Colorado State","Mountain West",13,23460,286,447,4181,34,7,435,2071,24,6252,10,17,299,174,85,5,14,72,705,40,843,0,24,90,0,13,128,0
2014,"Duke","ACC",13,22605,268,471,2814,23,8,492,2364,24,5178,7,15,286,201,84,16,29,64,503,36,909,1,24,325,2,11,159,2
2014,"East Carolina","American Athletic",13,23122,402,637,4835,31,11,433,2094,28,6929,12,23,378,194,92,11,24,109,1004,47,875,0,27,120,0,14,132,2
2014,"Eastern Michigan","Mid-American",12,19033,149,290,1722,13,11,403,1362,6,3084,19,30,160,160,52,3,10,65,568,50,863,0,13,90,0,6,3,0
2014,"Florida","SEC",12,21515,169,324,2159,18,14,517,2252,22,4411,10,24,210,192,70,8,15,80,710,41,826,0,27,325,1,17,138,2
2014,"Florida Atlantic","Conference USA",12,21363,206,365,2394,18,5,443,1963,14,4357,13,18,220,182,70,11,18,51,474,55,1203,0,24,333,1,8,111,2
2014,"Florida International","Conference USA",12,22510,171,324,2016,15,10,488,1502,11,3518,12,22,196,185,60,5,11,84,673,33,759,0,21,382,1,14,325,5
2014,"Florida State","ACC",14,25427,330,516,4246,26,20,451,1933,27,6179,12,32,322,176,80,0,6,87,668,18,306,0,18,179,0,14,156,2
2014,"Fresno State","Mountain West",14,23956,299,530,3132,25,21,566,2553,22,5685,6,27,296,243,91,16,34,59,546,46,871,0,24,216,1,10,105,1
2014,"Georgia","SEC",13,22740,217,322,2599,24,6,555,3352,38,5951,7,13,298,165,81,12,15,65,527,29,649,2,32,325,2,16,166,1
