"season","season_type","week","poll","rank","teamId","school","conference","first_place_votes","points"
1990,"regular",4,"AP Top 25",23,9,"Arizona State","Pac-10",NA,NA
1990,"regular",4,"AP Top 25",24,127,"Michigan State","Big Ten",NA,NA
1990,"regular",4,"AP Top 25",25,221,"Pittsburgh","FBS Independents",NA,NA
1990,"regular",5,"AP Top 25",1,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",5,"AP Top 25",2,52,"Florida State","FBS Independents",NA,NA
1990,"regular",5,"AP Top 25",3,2,"Auburn","SEC",NA,NA
1990,"regular",5,"AP Top 25",4,252,"BYU","Western Athletic",NA,NA
1990,"regular",5,"AP Top 25",5,2633,"Tennessee","SEC",NA,NA
1990,"regular",5,"AP Top 25",6,130,"Michigan","Big Ten",NA,NA
1990,"regular",5,"AP Top 25",7,258,"Virginia","ACC",NA,NA
1990,"regular",5,"AP Top 25",8,158,"Nebraska","Big 8",NA,NA
1990,"regular",5,"AP Top 25",9,201,"Oklahoma","Big 8",NA,NA
1990,"regular",5,"AP Top 25",10,2390,"Miami","FBS Independents",NA,NA
1990,"regular",5,"AP Top 25",11,245,"Texas A&M","Southwest",NA,NA
1990,"regular",5,"AP Top 25",12,264,"Washington","Pac-10",NA,NA
1990,"regular",5,"AP Top 25",13,248,"Houston","Southwest",NA,NA
1990,"regular",5,"AP Top 25",14,356,"Illinois","Big Ten",NA,NA
1990,"regular",5,"AP Top 25",15,194,"Ohio State","Big Ten",NA,NA
1990,"regular",5,"AP Top 25",16,12,"Arizona","Pac-10",NA,NA
1990,"regular",5,"AP Top 25",17,57,"Florida","SEC",NA,NA
1990,"regular",5,"AP Top 25",18,30,"USC","Pac-10",NA,NA
1990,"regular",5,"AP Top 25",19,228,"Clemson","ACC",NA,NA
1990,"regular",5,"AP Top 25",20,38,"Colorado","Big 8",NA,NA
1990,"regular",5,"AP Top 25",21,9,"Arizona State","Pac-10",NA,NA
1990,"regular",5,"AP Top 25",22,127,"Michigan State","Big Ten",NA,NA
1990,"regular",5,"AP Top 25",23,8,"Arkansas","Southwest",NA,NA
1990,"regular",5,"AP Top 25",24,278,"Fresno State","Big West",NA,NA
1990,"regular",5,"AP Top 25",25,2579,"South Carolina","FBS Independents",NA,NA
1990,"regular",6,"AP Top 25",1,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",6,"AP Top 25",2,52,"Florida State","FBS Independents",NA,NA
1990,"regular",6,"AP Top 25",3,130,"Michigan","Big Ten",NA,NA
1990,"regular",6,"AP Top 25",4,258,"Virginia","ACC",NA,NA
1990,"regular",6,"AP Top 25",5,2,"Auburn","SEC",NA,NA
1990,"regular",6,"AP Top 25",6,2633,"Tennessee","SEC",NA,NA
1990,"regular",6,"AP Top 25",7,201,"Oklahoma","Big 8",NA,NA
1990,"regular",6,"AP Top 25",8,158,"Nebraska","Big 8",NA,NA
1990,"regular",6,"AP Top 25",9,2390,"Miami","FBS Independents",NA,NA
1990,"regular",6,"AP Top 25",10,57,"Florida","SEC",NA,NA
1990,"regular",6,"AP Top 25",11,252,"BYU","Western Athletic",NA,NA
1990,"regular",6,"AP Top 25",12,38,"Colorado","Big 8",NA,NA
1990,"regular",6,"AP Top 25",13,356,"Illinois","Big Ten",NA,NA
1990,"regular",6,"AP Top 25",13,248,"Houston","Southwest",NA,NA
1990,"regular",6,"AP Top 25",15,30,"USC","Pac-10",NA,NA
1990,"regular",6,"AP Top 25",16,228,"Clemson","ACC",NA,NA
1990,"regular",6,"AP Top 25",17,264,"Washington","Pac-10",NA,NA
1990,"regular",6,"AP Top 25",18,127,"Michigan State","Big Ten",NA,NA
1990,"regular",6,"AP Top 25",19,245,"Texas A&M","Southwest",NA,NA
1990,"regular",6,"AP Top 25",20,194,"Ohio State","Big Ten",NA,NA
1990,"regular",6,"AP Top 25",21,8,"Arkansas","Southwest",NA,NA
1990,"regular",6,"AP Top 25",22,2483,"Oregon","Pac-10",NA,NA
1990,"regular",6,"AP Top 25",23,59,"Georgia Tech","ACC",NA,NA
1990,"regular",6,"AP Top 25",24,278,"Fresno State","Big West",NA,NA
1990,"regular",6,"AP Top 25",25,12,"Arizona","Pac-10",NA,NA
1990,"regular",7,"AP Top 25",1,130,"Michigan","Big Ten",NA,NA
1990,"regular",7,"AP Top 25",2,258,"Virginia","ACC",NA,NA
1990,"regular",7,"AP Top 25",3,2390,"Miami","FBS Independents",NA,NA
1990,"regular",7,"AP Top 25",4,201,"Oklahoma","Big 8",NA,NA
1990,"regular",7,"AP Top 25",5,2633,"Tennessee","SEC",NA,NA
1990,"regular",7,"AP Top 25",6,2,"Auburn","SEC",NA,NA
1990,"regular",7,"AP Top 25",7,158,"Nebraska","Big 8",NA,NA
1990,"regular",7,"AP Top 25",8,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",7,"AP Top 25",9,57,"Florida","SEC",NA,NA
1990,"regular",7,"AP Top 25",10,52,"Florida State","FBS Independents",NA,NA
1990,"regular",7,"AP Top 25",11,356,"Illinois","Big Ten",NA,NA
1990,"regular",7,"AP Top 25",12,248,"Houston","Southwest",NA,NA
1990,"regular",7,"AP Top 25",13,252,"BYU","Western Athletic",NA,NA
1990,"regular",7,"AP Top 25",14,38,"Colorado","Big 8",NA,NA
1990,"regular",7,"AP Top 25",15,228,"Clemson","ACC",NA,NA
1990,"regular",7,"AP Top 25",16,30,"USC","Pac-10",NA,NA
1990,"regular",7,"AP Top 25",17,264,"Washington","Pac-10",NA,NA
1990,"regular",7,"AP Top 25",18,59,"Georgia Tech","ACC",NA,NA
1990,"regular",7,"AP Top 25",19,2483,"Oregon","Pac-10",NA,NA
1990,"regular",7,"AP Top 25",20,245,"Texas A&M","Southwest",NA,NA
1990,"regular",7,"AP Top 25",21,12,"Arizona","Pac-10",NA,NA
1990,"regular",7,"AP Top 25",22,84,"Indiana","Big Ten",NA,NA
1990,"regular",7,"AP Top 25",23,2751,"Wyoming","Western Athletic",NA,NA
1990,"regular",7,"AP Top 25",24,145,"Ole Miss","SEC",NA,NA
1990,"regular",7,"AP Top 25",25,2294,"Iowa","Big Ten",NA,NA
1990,"regular",8,"AP Top 25",1,258,"Virginia","ACC",NA,NA
1990,"regular",8,"AP Top 25",2,2390,"Miami","FBS Independents",NA,NA
1990,"regular",8,"AP Top 25",3,2633,"Tennessee","SEC",NA,NA
1990,"regular",8,"AP Top 25",4,158,"Nebraska","Big 8",NA,NA
1990,"regular",8,"AP Top 25",5,2,"Auburn","SEC",NA,NA
1990,"regular",8,"AP Top 25",6,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",8,"AP Top 25",7,52,"Florida State","FBS Independents",NA,NA
1990,"regular",8,"AP Top 25",8,356,"Illinois","Big Ten",NA,NA
1990,"regular",8,"AP Top 25",9,248,"Houston","Southwest",NA,NA
1990,"regular",8,"AP Top 25",10,130,"Michigan","Big Ten",NA,NA
1990,"regular",8,"AP Top 25",11,59,"Georgia Tech","ACC",NA,NA
